Feature,Importance
Day,3.6980747166585126
V14,1.7488999765959359
V12,1.529865775485644
V10,1.5264696592026632
V20,1.4348702393497996
V17,1.326237114479347
V16,1.2695223576403627
V5,1.1009330686388994
V4,1.0834932686386587
V1,1.0779487970945045
V28,1.0463556284724604
V22,1.0034604491127173
Time_scaled,0.6760488841150287
Amount_scaled,0.6672001573652468
V7,0.6043344497756779
V8,0.600459959960762
V2,0.5872605815936137
V23,0.5847867863131256
V6,0.5510618781998255
V11,0.5285667327498805
V9,0.5132547923084646
V27,0.48357213673641053
V26,0.4543023008066399
V25,0.3631551265008189
V13,0.36133997514019583
V15,0.3343772599382174
Amount_log_scaled,0.29069895060636664
V19,0.2353167717017905
V18,0.21033841736451353
V21,0.18695210048230454
V3,0.13988553517955776
V24,0.08562166602290984
Hour,0.019859618182306575
