Feature,Importance
V14,0.19140973257628596
V10,0.14334048806849742
V4,0.11033354690022236
V12,0.08961343677307898
V17,0.0624743452966472
V11,0.05900651106678495
V16,0.04597463979848905
V3,0.0458604136370265
V7,0.028835753533599243
V21,0.016557396899965313
V2,0.016433153047044822
V18,0.015485430452986464
V27,0.01512372082892431
V8,0.014581949901850447
V9,0.013940478938649966
V5,0.011341386344305659
Day,0.010590303955398265
Hour,0.00990784842385749
V1,0.009863088179994288
V19,0.009651744239018292
Amount_log_scaled,0.008022569681477009
Time_scaled,0.007934200059562059
Amount_scaled,0.007844458893176786
V26,0.007833707020363389
V13,0.00758999551658493
V6,0.006860424357912267
V28,0.006543207377757441
V20,0.006418499076438387
V15,0.004515891993665959
V22,0.004256057791302846
V24,0.004131054052455538
V25,0.004075671483776026
V23,0.003648893832900541
